equip,start,end,qty
ав 760 Й5,2023-10-05 18:27:31.906949,2023-10-06 00:06:39.653162,521.2898813252226
ав 760 Й5,2023-12-28 21:25:19.315011,2023-12-29 03:21:18.385716,464.08236517937956
ав 760 Й1,2023-07-05 19:14:05.579898,2023-07-06 00:58:24.087742,502.57260231359624
ав 760 Й3,2023-01-25 00:51:37.813225,2023-01-25 06:51:10.620608,548.4999585466276
ав 760 Й3,2023-03-24 12:28:53.646291,2023-03-24 19:09:02.971808,495.05881831494344
ав 760 Й3,2023-03-12 19:26:58.193768,2023-03-13 02:26:36.982536,538.6901101433485
ав 760 Й1,2023-05-15 13:24:08.860562,2023-05-15 20:10:35.139857,483.6856463410033
ав 760 Й5,2023-04-11 12:41:51.926608,2023-04-11 05:36:56.798801,522.8820323593085
ав 760 Й1,2023-01-18 15:40:05.617114,2023-01-18 21:02:17.241545,510.66966938244246
ав 760 Й5,2023-05-12 04:42:05.578838,2023-05-12 11:34:53.275426,493.8326372549084
ав 760 Й1,2023-12-31 09:31:09.530174,2023-12-31 14:34:36.314100,494.30011920430803
ав 760 Й3,2023-11-08 08:26:20.649229,2023-11-08 14:21:53.272225,551.9250461347605
ав 760 Й5,2023-09-03 14:06:59.830353,2023-09-03 20:26:53.271035,492.9972550848421
ав 760 Й1,2023-02-26 11:27:53.823477,2023-02-26 05:46:43.793147,502.4824982050632
ав 760 Й3,2023-06-10 17:15:20.963419,2023-06-10 22:45:44.391864,522.2550715982206
ав 760 Й5,2023-10-14 14:37:27.576700,2023-10-14 20:44:07.122564,
ав 760 Й1,2023-01-10 07:55:15.671874,2023-01-10 14:06:33.327434,487.55253810692136
ав 760 Й3,2023-08-02 20:46:56.619427,2023-08-03 02:34:03.060697,510.85015487889797
ав 760 Й3,2023-11-29 02:00:33.631003,2023-11-29 08:47:32.769644,476.0750526208425
ав 760 Й3,2023-06-07 23:52:41.269976,2023-06-08 05:35:43.091681,529.1293249625289
ав 760 Й1,2023-09-25 00:55:36.973719,2023-09-25 07:01:03.908755,515.4709099148952
ав 760 Й1,2023-07-10 22:16:16.975251,2023-07-11 03:57:41.472354,527.6522084761316
ав 760 Й3,2023-06-14 19:51:14.323364,2023-06-15 02:32:33.117036,517.8492852416128
ав 760 Й3,2023-02-01 22:49:02.275611,2023-02-02 05:37:55.479442,518.2669117560339
ав 760 Й1,2023-10-31 01:37:19.810774,2023-10-31 08:09:15.928150,528.8372807094261
ав 760 Й5,2023-01-31 11:57:20.332927,2023-01-31 16:59:17.680260,534.7321514914939
ав 760 Й5,2023-12-23 00:33:49.980047,2023-12-23 06:25:15.635191,514.776177752683
ав 760 Й3,2023-05-22 12:10:53.940839,2023-05-22 19:05:35.486589,483.59323490435787
ав 760 Й5,2023-01-27 16:14:54.140266,2023-01-27 23:02:45.545412,503.2205226340431
ав 760 Й5,2023-04-10 20:07:10.829925,2023-04-11 01:23:13.348687,498.03081025103313
ав 760 Й5,2023-02-23 23:20:04.605214,2023-02-24 06:17:59.190999,504.4567025279595
ав 760 Й1,2023-04-05 16:02:39.507982,2023-04-05 22:31:12.068517,512.2454468939284
ав 760 Й5,2023-02-15 23:35:12.118129,2023-02-16 04:55:37.032108,467.670734084847
ав 760 Й1,2023-05-22 05:53:23.183194,2023-05-22 11:14:37.498880,523.3914097685197
ав 760 Й5,2023-05-14 01:19:03.449659,2023-05-14 07:50:42.745729,506.04885081237006
ав 760 Й1,2023-09-23 22:37:33.829224,2023-09-24 04:37:39.698143,508.1890664860636
ав 760 Й5,2023-06-29 14:48:45.663345,2023-06-29 19:55:24.604114,517.788108086131
ав 760 Й5,2023-02-20 21:42:13.139818,2023-02-21 03:18:17.390754,495.9359996603706
ав 760 Й3,2023-02-08 18:44:56.080664,2023-02-09 00:19:55.658349,520.0548125797236
ав 760 Й3,2023-07-04 01:13:36.027284,2023-07-04 07:09:26.378280,464.89175120981105
ав 760 Й1,2023-01-24 13:11:39.748507,2023-01-24 19:55:12.167020,505.2506354641359
ав 760 Й3,2023-11-20 03:54:42.675993,2023-11-20 09:11:14.518305,528.4060880570895
ав 760 Й1,2023-04-23 11:35:54.550181,2023-04-23 18:26:41.473275,508.80113091481775
ав 760 Й3,2023-06-01 22:50:41.189170,2023-06-02 05:45:19.620551,523.5737451167655
ав 760 Й3,2023-04-15 19:01:07.286167,2023-04-16 01:13:07.516422,487.14898336610804
ав 760 Й5,2023-09-09 18:55:23.145379,2023-09-10 00:46:12.639909,519.5413682780552
ав 760 Й1,2023-11-22 21:07:50.481053,2023-11-23 04:00:39.161527,495.02374316411175
ав 760 Й3,2023-12-23 14:16:17.270211,2023-12-23 19:18:59.226992,519.2068147792303
ав 760 Й3,2023-09-30 22:04:02.284534,2023-10-01 03:55:20.115489,566.9374618199604
ав 760 Й1,2023-07-10 12:48:03.073458,2023-07-10 19:27:34.738606,532.1601938479268
ав 760 Й3,2023-06-20 09:07:24.406116,2023-06-20 14:14:25.255554,502.596257667322
ав 760 Й1,2023-06-30 02:01:34.211125,2023-06-30 08:43:56.411161,522.200981451495
ав 760 Й1,2023-10-27 19:04:22.378573,2023-10-28 01:07:17.900603,498.0784995021788
ав 760 Й5,2023-03-26 06:46:55.307784,2023-03-26 01:06:43.908248,488.3899510760466
ав 760 Й3,2023-10-29 07:57:49.360167,2023-10-29 13:25:48.309939,553.6040184372719
ав 760 Й5,2023-02-05 18:34:28.184331,2023-02-06 01:31:24.765781,484.74244163720056
ав 760 Й5,2023-07-31 07:13:22.747581,2023-07-31 13:49:21.140214,540.011213848591
ав 760 Й1,2023-04-22 17:13:10.932955,2023-04-22 23:52:59.826163,476.2979473519473
ав 760 Й3,2023-03-23 09:29:39.862582,2023-03-23 15:32:44.162550,485.3725834189484
ав 760 Й1,2023-06-19 17:20:28.550430,2023-06-19 22:29:54.310134,463.57759839969
ав 760 Й5,2023-02-13 12:47:17.592338,2023-02-13 17:58:54.195722,527.1161952426153
ав 760 Й1,2023-08-20 08:32:34.874124,2023-08-20 15:24:11.420782,532.1413632978721
ав 760 Й3,2023-12-31 02:44:17.083610,2023-12-31 07:53:52.500814,517.5018891492907
ав 760 Й1,2023-12-10 22:36:39.925071,2023-12-11 05:00:58.113890,496.38588432577296
ав 760 Й3,2023-11-18 19:44:17.990857,2023-11-18 14:17:27.407362,512.8714196560933
ав 760 Й5,2023-06-28 06:08:37.401698,2023-06-28 11:26:52.942746,509.6216084654055
ав 760 Й1,2023-06-30 10:48:39.415363,2023-06-30 17:30:14.150620,521.2596413316237
ав 760 Й5,2023-11-30 05:39:32.951048,2023-11-30 12:12:25.155018,509.02643543347045
ав 760 Й3,2023-01-02 03:57:06.959828,2023-01-02 09:28:07.323911,512.5879917152592
ав 760 Й3,2023-02-24 13:59:21.983112,2023-02-24 19:36:59.728127,513.890882624251
ав 760 Й1,2023-02-08 11:02:43.953577,2023-02-08 16:21:42.201038,497.5648984220132
ав 760 Й5,2023-10-28 07:19:12.508680,2023-10-28 13:42:23.786322,469.18127056303314
ав 760 Й5,2023-08-12 08:33:55.151706,2023-08-12 14:23:03.993993,489.73720993018065
ав 760 Й3,2023-11-06 00:04:40.669062,2023-11-06 06:05:36.085866,488.4638393280905
ав 760 Й3,2023-09-24 18:28:07.718561,2023-09-24 23:44:30.952832,484.53556941033577
ав 760 Й1,2023-12-15 12:31:58.406544,2023-12-15 18:51:41.221222,462.49523915458064
ав 760 Й3,2023-11-16 15:55:48.220877,2023-11-16 22:42:37.043408,480.6180863545484
ав 760 Й3,2023-10-20 12:11:36.683770,2023-10-20 05:39:33.665691,500.560750364699
ав 760 Й1,2023-09-13 00:40:49.845654,2023-09-13 06:52:40.151706,521.8676390082231
ав 760 Й1,2023-12-16 22:49:40.199079,2023-12-16 17:52:12.734043,522.6661792829875
ав 760 Й3,2023-04-28 18:40:39.727286,2023-04-29 01:05:48.163608,481.91683951396703
